source,tournament_key,tournament_name,league_id,match_id,start_time_unix,start_time_utc,duration_sec,duration_min,radiant_team_id,radiant_name,dire_team_id,dire_name,radiant_win,winner_side,series_id,series_type,league_name_from_api,opendota_match_url
opendota,ewc_2026,Esports World Cup 2026,19785,8886005043,1783453680,2026-07-07 19:48:00 UTC,3309,55.15,9823272,Team Yandex,2586976,OG,False,dire,1118203,3,,https://www.opendota.com/matches/8886005043
opendota,ewc_2026,Esports World Cup 2026,19785,8886013461,1783453361,2026-07-07 19:42:41 UTC,3696,61.60,10150538,LGD Gaming,9895392,Virtus.pro,True,radiant,1118187,3,,https://www.opendota.com/matches/8886013461
opendota,ewc_2026,Esports World Cup 2026,19785,8885974297,1783451948,2026-07-07 19:19:08 UTC,3207,53.45,10182357,1w,10019843,Inner Circle x Insanity,True,radiant,1118190,3,,https://www.opendota.com/matches/8885974297
opendota,ewc_2026,Esports World Cup 2026,19785,8885928262,1783450062,2026-07-07 18:47:42 UTC,1570,26.17,2586976,OG,9823272,Team Yandex,False,dire,1118203,3,,https://www.opendota.com/matches/8885928262
opendota,ewc_2026,Esports World Cup 2026,19785,8885871759,1783448179,2026-07-07 18:16:19 UTC,1892,31.53,10019843,Inner Circle x Insanity,10182357,1w,False,dire,1118190,3,,https://www.opendota.com/matches/8885871759
opendota,ewc_2026,Esports World Cup 2026,19785,8885859920,1783446614,2026-07-07 17:50:14 UTC,4599,76.65,10150538,LGD Gaming,9895392,Virtus.pro,False,dire,,,,https://www.opendota.com/matches/8885859920
opendota,ewc_2026,Esports World Cup 2026,19785,8885784652,1783443540,2026-07-07 16:59:00 UTC,3191,53.18,7119388,Team Spirit,9338413,MOUZ,False,dire,1118153,3,,https://www.opendota.com/matches/8885784652
opendota,ewc_2026,Esports World Cup 2026,19785,8885775271,1783442606,2026-07-07 16:43:26 UTC,1575,26.25,9824702,PVISION,9691969,Team Nemesis,True,radiant,1118158,3,,https://www.opendota.com/matches/8885775271
opendota,ewc_2026,Esports World Cup 2026,19785,8885723512,1783440300,2026-07-07 16:05:00 UTC,3176,52.93,726228,Vici Gaming,9828897,REKONIX,True,radiant,1118150,3,,https://www.opendota.com/matches/8885723512
opendota,ewc_2026,Esports World Cup 2026,19785,8885665054,1783437858,2026-07-07 15:24:18 UTC,2479,41.32,9691969,Team Nemesis,9824702,PVISION,False,dire,1118158,3,,https://www.opendota.com/matches/8885665054
opendota,ewc_2026,Esports World Cup 2026,19785,8885633666,1783436798,2026-07-07 15:06:38 UTC,4197,69.95,9338413,MOUZ,7119388,Team Spirit,False,dire,1118153,3,,https://www.opendota.com/matches/8885633666
opendota,ewc_2026,Esports World Cup 2026,19785,8885614030,1783435921,2026-07-07 14:52:01 UTC,2500,41.67,9828897,REKONIX,726228,Vici Gaming,False,dire,,,,https://www.opendota.com/matches/8885614030
opendota,ewc_2026,Esports World Cup 2026,19785,8885529711,1783433284,2026-07-07 14:08:04 UTC,1315,21.92,9256405,Level UP esports,9467224,Aurora Gaming,False,dire,1118100,3,,https://www.opendota.com/matches/8885529711
opendota,ewc_2026,Esports World Cup 2026,19785,8885473599,1783431420,2026-07-07 13:37:00 UTC,2093,34.88,10182309,PTime,2163,Team Liquid,True,radiant,1118085,3,,https://www.opendota.com/matches/8885473599
opendota,ewc_2026,Esports World Cup 2026,19785,8885470551,1783430880,2026-07-07 13:28:00 UTC,2209,36.82,10182299,L1 TEAM,10136357,Nigma Galaxy,False,dire,1118078,3,,https://www.opendota.com/matches/8885470551
opendota,ewc_2026,Esports World Cup 2026,19785,8885411801,1783428660,2026-07-07 12:51:00 UTC,2143,35.72,9467224,Aurora Gaming,9256405,Level UP esports,True,radiant,1118100,3,,https://www.opendota.com/matches/8885411801
opendota,ewc_2026,Esports World Cup 2026,19785,8885380529,1783427175,2026-07-07 12:26:15 UTC,2312,38.53,10182309,PTime,2163,Team Liquid,False,dire,1118085,3,,https://www.opendota.com/matches/8885380529
opendota,ewc_2026,Esports World Cup 2026,19785,8885365825,1783426680,2026-07-07 12:18:00 UTC,2191,36.52,10136357,Nigma Galaxy,10182299,L1 TEAM,True,radiant,1118078,3,,https://www.opendota.com/matches/8885365825
opendota,ewc_2026,Esports World Cup 2026,19785,8885275216,1783422092,2026-07-07 11:01:32 UTC,3441,57.35,8261500,Xtreme Gaming,9895247,Rune Eaters,True,radiant,1118055,3,,https://www.opendota.com/matches/8885275216
opendota,ewc_2026,Esports World Cup 2026,19785,8885252329,1783421220,2026-07-07 10:47:00 UTC,2419,40.32,8255888,BoomBoys,9247354,Team Falcons,False,dire,1118051,3,,https://www.opendota.com/matches/8885252329
opendota,ewc_2026,Esports World Cup 2026,19785,8885250776,1783420680,2026-07-07 10:38:00 UTC,2845,47.42,55,_PowerRangers,9964962,GamerLegion,False,dire,1118052,3,,https://www.opendota.com/matches/8885250776
opendota,ewc_2026,Esports World Cup 2026,19785,8885195986,1783417108,2026-07-07 09:38:28 UTC,2836,47.27,9895247,Rune Eaters,8261500,Xtreme Gaming,True,radiant,1118055,3,,https://www.opendota.com/matches/8885195986
opendota,ewc_2026,Esports World Cup 2026,19785,8885195787,1783416857,2026-07-07 09:34:17 UTC,1924,32.07,55,_PowerRangers,9964962,GamerLegion,False,dire,1118052,3,,https://www.opendota.com/matches/8885195787
opendota,ewc_2026,Esports World Cup 2026,19785,8885183102,1783416279,2026-07-07 09:24:39 UTC,2623,43.72,9247354,Team Falcons,8255888,BoomBoys,False,dire,1118051,3,,https://www.opendota.com/matches/8885183102
